Adjective,Noun
빛난,전사
강인한,용사
용맹한,사냥꾼
대담한,모험가
혁신적인,마법사
찬란한,도적
빛나는,성기사
우아한,검사
저명한,무법자
고귀한,광전사
무자비한,기사
환상적인,무림인
불멸의,바드
황금빛,요술사
단호한,암살자
숭고한,싸움꾼
흥분한,전략가
도전적인,괴도
웅장한,수호자
조용한,무녀
아름다운,현자
밝은,마술사
끝내주는,해적
열정적인,대장장이
자연의,전령
진정한,선견자
영원한,무사
눈부신,기원자
야심찬,전투사
대담하고,탐험가
압도적인,복병
세련된,대마법사
천상의,저승사자
완벽한,감시자
신비로운,영웅
경이로운,잠입자
감동적인,수호신
솔직한,항해사
유쾌한,성전사
매력적인,마법학자
정의로운,선구자
과감한,요정
확고한,귀감
창조적인,조련사
자유로운,구원자
유연한,의인
신념있는,수호법
카리스마,무장
지혜로운,영광
우월한,신뢰
명랑한,모험
생생한,사냥법
열정,괴담
쾌활한,마스터
용감한,수호강
현명한,무한
특별한,영기
독특한,모험성
창의적인,사냥개
영리한,괴물
사랑스런,킬러
활기찬,천인
화려한,새로운
포근한,승리자
역동적인,무사회
활발한,영생
밝고,수호해
강한,모험기
탐험하는,괴생
긍정적인,킬러비
재치있는,무사지
신나는,영혼
풍부한,수호강자
활동적인,모험처
즐거운,괴상
재미있는,도전
낙천적인,영역
경쾌한,수호적
이곳의,모험길
청량한,사냥방
황혼의,괴행
바다의,세계
무법의,수호지
새벽의,모험단
어둠의,
푸른,
모래의,
마력의,
산의,
바위의,
비밀의,
숲의,
세계의,
황야의,
별의,
성의,
사막의,
강의,
평원의,
동굴의,
빛의,
용암의,
눈의,
얼음의,
불꽃의,
전투의,
대지의,
무한의,
신성한,
폭풍의,
수호의,
위험한,
지하의,
환상의,
시간의,
수련의,
풍요로운,
야생의,
미지의,
유령의,
결투의,
영적인,
정령의,
인도하는,
탐험의,
